1;2;3;4;5;67
1443000;SPLog;SPLog Standard;SP;SPC;15
1443050;SPLog;SPLog Standard;SP;SPC;15
1443060;SPLog;SPLog Standard;SP;SPC;15
1445000;SPLog;SPLog Standard;SP;SPC;15
1446000;SPLog;SPLog Standard;SP;SPC;15
1446010;SPLog;SPLog Standard;SP;SPC;15
1446020;SPLog;SPLog Standard;SP;SPC;15
1446030;SPLog;SPLog Standard;SP;SPC;15
1448020;SPLog;SPLog Standard;SP;SPC;15
1448030;SPLog;SPLog Standard;SP;SPC;15
1450000;SPLog;SPLog Standard;SP;SPC;15
1451000;SPLog;SPLog Standard;SP;SPC;15
1451001;SPLog;SPLog Standard;SP;SPC;15
1451011;SPLog;SPLog Standard;SP;SPC;15
1452000;SPLog;SPLog Standard;SP;SPC;15
1452001;SPLog;SPLog Standard;SP;SPC;15
1452002;SPLog;SPLog Standard;SP;SPC;15
1452010;SPLog;SPLog Standard;SP;SPC;15
1453010;SPLog;SPLog Standard;SP;SPC;15
1453030;SPLog;SPLog Standard;SP;SPC;15
1454000;SPLog;SPLog Standard;SP;SPC;15
1454010;SPLog;SPLog Standard;SP;SPC;15
1454030;SPLog;SPLog Standard;SP;SPC;15
1454902;SPLog;SPLog Standard;SP;SPC;15
1455000;SPLog;SPLog Standard;SP;SPC;15
1455010;SPLog;SPLog Standard;SP;SPC;15
1455040;SPLog;SPLog Standard;SP;SPC;15
1455060;SPLog;SPLog Standard;SP;SPC;15
1455070;SPLog;SPLog Standard;SP;SPC;15
1455080;SPLog;SPLog Standard;SP;SPC;15
1456010;SPLog;SPLog Standard;SP;SPC;15
1456030;SPLog;SPLog Standard;SP;SPC;15
1456040;SPLog;SPLog Standard;SP;SPC;15
1457000;SPLog;SPLog Standard;SP;SPC;15
1457030;SPLog;SPLog Standard;SP;SPC;15
1457040;SPLog;SPLog Standard;SP;SPC;15
1501040;SPLog;SPLog Standard;SP;SPC;15
1501050;SPLog;SPLog Standard;SP;SPC;15
1503000;SPLog;SPLog Standard;SP;SPC;15
1503001;SPLog;SPLog Standard;SP;SPC;15
1503010;SPLog;SPLog Standard;SP;SPC;15
1504000;SPLog;SPLog Standard;SP;SPC;15
1504001;SPLog;SPLog Standard;SP;SPC;15
1505000;SPLog;SPLog Standard;SP;SPC;15
1506000;SPLog;SPLog Standard;SP;SPC;15
1508010;SPLog;SPLog Standard;SP;SPC;15
1508030;SPLog;SPLog Standard;SP;SPC;15
1508902;SPLog;SPLog Standard;SP;SPC;15
1509000;SPLog;SPLog Standard;SP;SPC;15
1509001;SPLog;SPLog Standard;SP;SPC;15
1510001;SPLog;SPLog Standard;SP;SPC;15
1511000;SPLog;SPLog Standard;SP;SPC;15
1511001;SPLog;SPLog Standard;SP;SPC;15
1512000;SPLog;SPLog Standard;SP;SPC;15
1512010;SPLog;SPLog Standard;SP;SPC;15
1514000;SPLog;SPLog Standard;SP;SPC;15
1514010;SPLog;SPLog Standard;SP;SPC;15
1516100;SPLog;SPLog Standard;SP;SPC;15
1517000;SPLog;SPLog Standard;SP;SPC;15
1517010;SPLog;SPLog Standard;SP;SPC;15
1518000;SPLog;SPLog Standard;SP;SPC;15
1519010;SPLog;SPLog Standard;SP;SPC;15
1520000;SPLog;SPLog Standard;SP;SPC;15
1521000;SPLog;SPLog Standard;SP;SPC;15
1522000;SPLog;SPLog Standard;SP;SPC;15
1523030;SPLog;SPLog Standard;SP;SPC;15
1524000;SPLog;SPLog Standard;SP;SPC;15
1525000;SPLog;SPLog Standard;SP;SPC;15
1525001;SPLog;SPLog Standard;SP;SPC;15
1526000;SPLog;SPLog Standard;SP;SPC;15
1526010;SPLog;SPLog Standard;SP;SPC;15
1526020;SPLog;SPLog Standard;SP;SPC;15
1527000;SPLog;SPLog Standard;SP;SPC;15
1527020;SPLog;SPLog Standard;SP;SPC;15
1527050;SPLog;SPLog Standard;SP;SPC;15
1527070;SPLog;SPLog Standard;SP;SPC;15
1528020;SPLog;SPLog Standard;SP;SPC;15
